year,team,wins
2019,Atlanta Hawks,20
2019,Boston Celtics,48
2019,Brooklyn Nets,35
2019,Chicago Bulls,22
2019,Charlotte Hornets,23
2019,Cleveland Cavaliers,19
2019,Dallas Mavericks,43
2019,Denver Nuggets,46
2019,Detroit Pistons,20
2019,Golden State Warriors,15
2019,Houston Rockets,44
2019,Indiana Pacers,45
2019,Los Angeles Clippers,49
2019,Los Angeles Lakers,52
2019,Memphis Grizzlies,34
2019,Miami Heat,44
2019,Milwaukee Bucks,56
2019,Minnesota Timberwolves,19
2019,New Orleans Pelicans,30
2019,New York Knicks,21
2019,Oklahoma City Thunder,44
2019,Orlando Magic,33
2019,Philadelphia 76ers,43
2019,Phoenix Suns,34
2019,Portland Trail Blazers,35
2019,Sacramento Kings,31
2019,San Antonio Spurs,32
2019,Toronto Raptors,53
2019,Utah Jazz,44
2019,Washington Wizards,25
2018,Atlanta Hawks,29
2018,Boston Celtics,49
2018,Brooklyn Nets,42
2018,Chicago Bulls,22
2018,Charlotte Hornets,39
2018,Cleveland Cavaliers,19
2018,Dallas Mavericks,33
2018,Denver Nuggets,54
2018,Detroit Pistons,41
2018,Golden State Warriors,57
2018,Houston Rockets,53
2018,Indiana Pacers,48
2018,Los Angeles Clippers,48
2018,Los Angeles Lakers,37
2018,Memphis Grizzlies,33
2018,Miami Heat,39
2018,Milwaukee Bucks,60
2018,Minnesota Timberwolves,36
2018,New Orleans Pelicans,33
2018,New York Knicks,17
2018,Oklahoma City Thunder,49
2018,Orlando Magic,42
2018,Philadelphia 76ers,51
2018,Phoenix Suns,19
2018,Portland Trail Blazers,53
2018,Sacramento Kings,39
2018,San Antonio Spurs,48
2018,Toronto Raptors,58
2018,Utah Jazz,50
2018,Washington Wizards,32
2017,Atlanta Hawks,24
2017,Boston Celtics,55
2017,Brooklyn Nets,28
2017,Chicago Bulls,27
2017,Charlotte Hornets,36
2017,Cleveland Cavaliers,50
2017,Dallas Mavericks,24
2017,Denver Nuggets,46
2017,Detroit Pistons,39
2017,Golden State Warriors,58
2017,Houston Rockets,65
2017,Indiana Pacers,48
2017,Los Angeles Clippers,42
2017,Los Angeles Lakers,35
2017,Memphis Grizzlies,22
2017,Miami Heat,44
2017,Milwaukee Bucks,44
2017,Minnesota Timberwolves,47
2017,New Orleans Pelicans,48
2017,New York Knicks,29
2017,Oklahoma City Thunder,48
2017,Orlando Magic,25
